ensg1	ensg2	score	interaction	direction	evidence_code
ENSG00000164867	ENSG00000100380	0.48	PPI	undirected	ADIA
ENSG00000080815	ENSG00000100380	0.48	PPI	undirected	ADIA
ENSG00000080815	ENSG00000100380	0.48	PPI	undirected	ADIA
ENSG00000164867	ENSG00000100380	0.48	PPI	undirected	ADIA
ENSG00000144619	ENSG00000105290	0.44	PPI	undirected	ADIA
ENSG00000142192	ENSG00000105290	0.54	PPI	undirected	ADIA
ENSG00000105290	ENSG00000105290	0.54	PPI	undirected	ADIA
ENSG00000084234	ENSG00000105290	0.54	PPI	undirected	ADIA
ENSG00000149972	ENSG00000105290	0.44	PPI	undirected	ADIA
ENSG00000142192	ENSG00000105290	0.54	PPI	undirected	ADIA
ENSG00000105290	ENSG00000105290	0.54	PPI	undirected	ADIA
ENSG00000105290	ENSG00000105290	0.54	PPI	undirected	ADIA
ENSG00000159200	ENSG00000159200	0.60	PPI	undirected	ADIA
ENSG00000159200	ENSG00000159200	0.60	PPI	undirected	ADIA
ENSG00000159200	ENSG00000159200	0.60	PPI	undirected	ADIA
ENSG00000159200	ENSG00000159200	0.60	PPI	undirected	ADIA
ENSG00000159200	ENSG00000159200	0.60	PPI	undirected	ADIA
ENSG00000159200	ENSG00000159200	0.60	PPI	undirected	ADIA
ENSG00000130159	ENSG00000179262	0.37	PPI	undirected	ADIA
ENSG00000155252	ENSG00000179262	0.37	PPI	undirected	ADIA
ENSG00000138131	ENSG00000179262	0.37	PPI	undirected	ADIA
ENSG00000175899	ENSG00000179262	0.37	PPI	undirected	ADIA
ENSG00000105613	ENSG00000179262	0.37	PPI	undirected	ADIA
ENSG00000142192	ENSG00000186318	0.44	PPI	undirected	ADIA
ENSG00000142192	ENSG00000186318	0.49	PPI	undirected	ADIA
ENSG00000142192	ENSG00000186318	0.49	PPI	undirected	ADIA
ENSG00000105401	ENSG00000107829	0.37	PPI	undirected	ADIA
ENSG00000105982	ENSG00000107829	0.37	PPI	undirected	ADIA
ENSG00000159363	ENSG00000106803	0.37	PPI	undirected	ADIA
ENSG00000113758	ENSG00000171862	0.52	PPI	undirected	ADIA
ENSG00000113758	ENSG00000171862	0.52	PPI	undirected	ADIA
ENSG00000142192	ENSG00000075624	0.35	PPI	undirected	ADIA
ENSG00000142192	ENSG00000075624	0.35	PPI	undirected	ADIA
ENSG00000159363	ENSG00000121966	0.37	PPI	undirected	ADIA
ENSG00000142192	ENSG00000136854	0.35	PPI	undirected	ADIA
ENSG00000142192	ENSG00000092969	0.72	PPI	undirected	ADIA
ENSG00000142192	ENSG00000092969	0.72	PPI	undirected	ADIA
ENSG00000142192	ENSG00000092969	0.72	PPI	undirected	ADIA
ENSG00000142192	ENSG00000092969	0.72	PPI	undirected	ADIA
ENSG00000142192	ENSG00000092969	0.72	PPI	undirected	ADIA
ENSG00000142192	ENSG00000092969	0.72	PPI	undirected	ADIA
ENSG00000159363	ENSG00000136485	0.37	PPI	undirected	ADIA
ENSG00000142192	ENSG00000196262	0.35	PPI	undirected	ADIA
ENSG00000159363	ENSG00000220205	0.37	PPI	undirected	ADIA
ENSG00000082701	ENSG00000164924	0.40	PPI	undirected	ADIA
ENSG00000142192	ENSG00000164924	0.35	PPI	undirected	ADIA
ENSG00000186868	ENSG00000164924	0.72	PPI	undirected	ADIA
ENSG00000082701	ENSG00000164924	0.40	PPI	undirected	ADIA
ENSG00000186868	ENSG00000164924	0.72	PPI	undirected	ADIA
ENSG00000142192	ENSG00000164924	0.35	PPI	undirected	ADIA
ENSG00000186868	ENSG00000164924	0.72	PPI	undirected	ADIA
ENSG00000105613	ENSG00000148688	0.37	PPI	undirected	ADIA
ENSG00000142192	ENSG00000151694	0.44	PPI	undirected	ADIA
